Original_x,Optimal_x,Cost,Objective,Runtime
"[3, 3, 3, 4, 2, 4]",[4. 3. 3. 5. 5. 4.],5.0,5.0,0.1346726417541504
"[3, 2, 3, 5, 4, 3]",[4. 3. 5. 5. 4. 3.],4.0,4.0,0.037147045135498
"[3, 1, 2, 2, 1, 3]",[4. 3. 5. 5. 4. 3.],12.0,12.0,0.0192732810974121
"[4, 4, 4, 2, 5, 5]",[4. 4. 5. 3. 5. 5.],2.0,2.0,0.0611474514007568
"[3, 2, 3, 3, 2, 3]",[4. 3. 5. 5. 4. 3.],8.0,8.0,0.031890869140625
"[4, 4, 3, 4, 4, 4]",[4. 4. 4. 5. 5. 4.],3.0,3.0,0.1366622447967529
"[4, 2, 4, 5, 4, 3]",[4. 3. 5. 5. 4. 3.],2.0,2.0,0.0229322910308837
"[4, 1, 3, 3, 4, 3]",[4. 3. 5. 5. 4. 3.],6.0,6.0,0.0195205211639404
"[3, 2, 4, 3, 4, 4]",[4. 3. 4. 5. 4. 4.],4.0,4.0,0.1072964668273925
"[4, 2, 4, 4, 4, 4]",[4. 3. 5. 4. 4. 4.],2.0,2.0,0.1329922676086425
"[4, 2, 3, 3, 4, 4]",[4. 3. 5. 4. 4. 4.],4.0,4.0,0.1187434196472168
"[4, 2, 3, 3, 4, 4]",[4. 3. 3. 5. 5. 4.],4.0,4.0,0.3168659210205078
"[4, 3, 3, 3, 3, 4]",[4. 3. 5. 5. 3. 4.],4.0,4.0,0.2764818668365478
"[3, 4, 3, 3, 2, 3]",[4. 3. 5. 5. 4. 3.],8.0,8.0,0.066680908203125
"[3, 3, 3, 5, 5, 5]",[4. 3. 3. 5. 5. 5.],1.0,1.0,0.1421890258789062
"[3, 3, 1, 3, 3, 4]",[4. 3. 3. 5. 5. 4.],7.0,7.0,0.0979683399200439
"[3, 3, 1, 3, 3, 4]",[4. 3. 4. 5. 4. 4.],7.0,7.0,0.1203629970550537
"[4, 3, 3, 3, 4, 4]",[4. 3. 4. 5. 4. 4.],3.0,3.0,0.2725281715393066
"[3, 2, 4, 4, 4, 5]",[4. 3. 4. 4. 4. 5.],2.0,2.0,0.4073450565338135
"[3, 2, 4, 4, 4, 5]",[4. 3. 4. 4. 4. 5.],2.0,2.0,0.4658236503601074
"[4, 1, 3, 1, 1, 4]",[4. 3. 5. 5. 3. 4.],10.0,10.0,0.0857267379760742
"[4, 2, 3, 3, 4, 4]",[4. 3. 5. 4. 4. 4.],4.0,4.0,0.2908408641815185
"[4, 4, 3, 4, 2, 4]",[4. 4. 5. 5. 3. 4.],4.0,4.0,0.2221817970275879
"[4, 1, 3, 4, 4, 3]",[4. 3. 5. 5. 4. 3.],5.0,5.0,0.0695686340332031
"[4, 2, 4, 3, 2, 4]",[4. 3. 4. 5. 4. 4.],5.0,5.0,0.1852037906646728
