Original_x,Optimal_x,Cost,Objective,Runtime
"[53.0, 0.0, 16.0, 2.0, 9.0, 0.0, 4.0, 0.0, 15024.0, 0.0, 60.0, 10.0]","[5.30000000e+01 1.00000000e+00 1.60000000e+01 2.00000000e+00
 1.00000000e+00 0.00000000e+00 4.00000000e+00 0.00000000e+00
 6.81731946e+03 1.00000000e+03 1.00000000e+02 1.00000000e+01]",9255.680535196061291,9255.680535196061291,0.0601837635040283
"[41.0, 2.0, 16.0, 2.0, 3.0, 0.0, 4.0, 0.0, 15024.0, 0.0, 50.0, 1.0]","[4.10000000e+01 1.00000000e+00 1.60000000e+01 2.00000000e+00
 1.00000000e+00 0.00000000e+00 4.00000000e+00 0.00000000e+00
 5.30777083e+03 1.00000000e+03 1.00000000e+02 1.00000000e+00]",10769.229174362419695,10769.229174362419695,0.0817322731018066
"[75.0, 4.0, 16.0, 2.0, 9.0, 0.0, 4.0, 0.0, 4931.0, 0.0, 3.0, 37.0]","[7.50000000e+01 1.00000000e+00 1.60000000e+01 2.00000000e+00
 1.00000000e+00 0.00000000e+00 4.00000000e+00 0.00000000e+00
 4.93100000e+03 1.00000000e+03 6.76905802e+01 3.70000000e+01]",1075.690580197713711,1075.690580197713711,0.0791754722595214
"[51.0, 2.0, 16.0, 2.0, 9.0, 0.0, 4.0, 0.0, 15024.0, 0.0, 60.0, 18.0]","[5.10000000e+01 1.00000000e+00 1.60000000e+01 2.00000000e+00
 1.00000000e+00 0.00000000e+00 4.00000000e+00 0.00000000e+00
 4.53524083e+03 1.00000000e+03 1.00000000e+02 1.80000000e+01]",11537.759173675631665,11537.759173675631665,0.0566999912261962
"[65.0, 1.0, 14.0, 2.0, 9.0, 0.0, 4.0, 0.0, 0.0, 1648.0, 4.0, 11.0]","[6.50000000e+01 1.00000000e+00 1.40000000e+01 2.00000000e+00
 1.00000000e+00 0.00000000e+00 4.00000000e+00 0.00000000e+00
 4.00000000e+03 1.64800952e+03 8.69117692e+01 1.10000000e+01]",4090.921290420242391,4090.921290420242391,0.0276160240173339
"[66.0, 1.0, 16.0, 2.0, 9.0, 0.0, 2.0, 0.0, 20051.0, 0.0, 35.0, 21.0]","[6.6e+01 2.0e+00 1.6e+01 2.0e+00 1.0e+00 0.0e+00 2.0e+00 0.0e+00 4.0e+03
 1.0e+03 1.0e+02 2.1e+01]",17125,17125,0.0165185928344726
"[72.0, 4.0, 16.0, 2.0, 9.0, 0.0, 4.0, 0.0, 0.0, 2392.0, 25.0, 37.0]","[7.20000000e+01 1.00000000e+00 1.60000000e+01 2.00000000e+00
 1.00000000e+00 0.00000000e+00 4.00000000e+00 0.00000000e+00
 4.00000000e+03 1.73353959e+03 1.00000000e+02 3.70000000e+01]",4744.460409916300440,4744.460409916300440,0.055131196975708
"[90.0, 2.0, 13.0, 2.0, 11.0, 0.0, 4.0, 0.0, 9386.0, 0.0, 15.0, 37.0]","[9.00000000e+01 1.00000000e+00 1.30000000e+01 2.00000000e+00
 1.00000000e+00 0.00000000e+00 4.00000000e+00 0.00000000e+00
 4.61165061e+03 1.00000000e+03 1.00000000e+02 3.70000000e+01]",5870.349389106812273,5870.349389106812273,0.037748098373413
"[68.0, 2.0, 16.0, 2.0, 9.0, 0.0, 4.0, 0.0, 20051.0, 0.0, 55.0, 37.0]","[6.8000000e+01 1.0000000e+00 1.6000000e+01 2.0000000e+00 1.0000000e+00
 0.0000000e+00 4.0000000e+00 0.0000000e+00 4.6369879e+03 1.0000000e+03
 1.0000000e+02 3.7000000e+01]",16468.012096849494783,16468.012096849494783,0.0316593647003173
"[77.0, 3.0, 16.0, 2.0, 4.0, 0.0, 4.0, 0.0, 20051.0, 0.0, 40.0, 37.0]","[7.70000000e+01 1.00000000e+00 1.60000000e+01 2.00000000e+00
 1.00000000e+00 0.00000000e+00 4.00000000e+00 0.00000000e+00
 6.62336911e+03 1.00000000e+03 1.00000000e+02 3.70000000e+01]",14492.630892493754893,14492.630892493754893,0.0454657077789306
