Original_x,Optimal_x,Cost,Objective,Runtime
"[5.0, 0.0, 0.0, 6300000.0, 14600000.0, 12.0, 652.0, 10300000.0, 3500000.0, 23500000.0, 5900000.0]","[5.00e+00 0.00e+00 0.00e+00 4.00e+04 1.46e+07 1.20e+01 6.52e+02 1.03e+07
 2.50e+02 2.00e+03 5.90e+06]",33257750,33257750,0.0419526100158691
"[3.0, 0.0, 0.0, 4900000.0, 11900000.0, 8.0, 612.0, 9700000.0, 1200000.0, 19000000.0, 5800000.0]","[3.00e+00 0.00e+00 0.00e+00 4.00e+04 1.19e+07 8.00e+00 6.12e+02 9.70e+06
 2.50e+02 2.00e+03 5.80e+06]",25057750,25057750,0.0236275196075439
"[5.0, 0.0, 0.0, 3600000.0, 7700000.0, 16.0, 830.0, 7000000.0, 1300000.0, 10000000.0, 2900000.0]","[5.0e+00 0.0e+00 0.0e+00 4.0e+04 7.7e+06 1.6e+01 7.5e+02 7.0e+06 2.5e+02
 2.0e+03 2.9e+06]",14857830,14857830,0.0318801403045654
"[5.0, 1.0, 0.0, 3800000.0, 7600000.0, 4.0, 689.0, 8700000.0, 100000.0, 9300000.0, 3400000.0]","[5.00e+00 1.00e+00 0.00e+00 4.00e+04 7.60e+06 5.00e+00 6.89e+02 8.70e+06
 2.50e+02 2.00e+03 3.40e+06]",13157751,13157751,0.0291604995727539
"[1.0, 0.0, 0.0, 4100000.0, 10300000.0, 12.0, 364.0, 9500000.0, 6100000.0, 14900000.0, 2800000.0]","[1.00e+00 0.00e+00 0.00e+00 4.00e+04 1.03e+07 1.20e+01 6.00e+02 9.50e+06
 2.50e+02 2.00e+03 2.80e+06]",25057986,25057986,0.0442152023315429
"[5.0, 1.0, 0.0, 7000000.0, 18300000.0, 4.0, 418.0, 18400000.0, 11700000.0, 21500000.0, 7600000.0]","[5.00e+00 1.00e+00 0.00e+00 4.00e+04 1.83e+07 5.00e+00 6.00e+02 1.84e+07
 2.50e+02 2.00e+03 7.60e+06]",40157933,40157933,0.0365335941314697
"[2.0, 1.0, 1.0, 9900000.0, 21200000.0, 16.0, 363.0, 25500000.0, 11400000.0, 26600000.0, 6800000.0]","[2.00e+00 1.00e+00 1.00e+00 4.00e+04 2.12e+07 1.60e+01 6.00e+02 2.55e+07
 2.50e+02 2.00e+03 6.80e+06]",47857987,47857987,0.0288410186767578
"[3.0, 0.0, 0.0, 3600000.0, 8600000.0, 20.0, 613.0, 9400000.0, 300000.0, 10300000.0, 3300000.0]","[3.00e+00 0.00e+00 0.00e+00 4.00e+04 8.60e+06 2.00e+01 6.13e+02 9.40e+06
 2.50e+02 2.00e+03 3.30e+06]",14157750,14157750,0.0286276340484619
"[4.0, 0.0, 0.0, 8800000.0, 20700000.0, 18.0, 540.0, 19200000.0, 3200000.0, 22400000.0, 12700000.0]","[4.00e+00 0.00e+00 0.00e+00 4.00e+04 2.07e+07 1.80e+01 6.00e+02 1.92e+07
 2.50e+02 2.00e+03 1.27e+07]",34357810,34357810,0.0329139232635498
"[4.0, 0.0, 0.0, 3800000.0, 8900000.0, 4.0, 844.0, 9100000.0, 3500000.0, 13100000.0, 4700000.0]","[4.0e+00 0.0e+00 0.0e+00 4.0e+04 8.9e+06 5.0e+00 7.5e+02 9.1e+06 2.5e+02
 2.0e+03 4.7e+06]",20357845,20357845,0.025409460067749
"[2.0, 0.0, 0.0, 1000000.0, 2000000.0, 10.0, 366.0, 1200000.0, 400000.0, 3200000.0, 1300000.0]","[2.0e+00 0.0e+00 0.0e+00 4.0e+04 2.0e+06 1.0e+01 6.0e+02 1.2e+06 2.5e+02
 2.0e+03 1.3e+06]",4557984,4557984,0.0246562957763671
"[3.0, 1.0, 1.0, 4200000.0, 9700000.0, 16.0, 841.0, 7800000.0, 300000.0, 16700000.0, 5100000.0]","[3.0e+00 1.0e+00 1.0e+00 4.0e+04 9.7e+06 1.6e+01 7.5e+02 7.8e+06 2.5e+02
 2.0e+03 5.1e+06]",21157841,21157841,0.0221972465515136
"[2.0, 0.0, 0.0, 3300000.0, 6800000.0, 14.0, 317.0, 3400000.0, 300000.0, 11700000.0, 3600000.0]","[2.0e+00 0.0e+00 0.0e+00 4.0e+04 6.8e+06 1.4e+01 6.0e+02 3.4e+06 2.5e+02
 2.0e+03 3.6e+06]",15258033,15258033,0.0294446945190429
"[0.0, 1.0, 1.0, 9500000.0, 20800000.0, 14.0, 565.0, 15100000.0, 11900000.0, 33900000.0, 13400000.0]","[0.00e+00 1.00e+00 1.00e+00 4.00e+04 2.08e+07 1.40e+01 6.00e+02 1.51e+07
 2.50e+02 2.00e+03 1.34e+07]",55257785,55257785,0.0252368450164794
