Original_x,Optimal_x,Cost,Objective,Runtime
"[5.0, 0.0, 0.0, 6500000.0, 13400000.0, 18.0, 787.0, 18200000.0, 300000.0, 16200000.0, 5400000.0]","[5.00000e+00 0.00000e+00 0.00000e+00 3.49995e+04 2.30000e+06 1.80000e+01
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",7,7,0.0138442516326904
"[2.0, 1.0, 0.0, 8500000.0, 18900000.0, 18.0, 478.0, 23800000.0, 16300000.0, 25900000.0, 11400000.0]","[2.00000e+00 1.00000e+00 0.00000e+00 3.49995e+04 2.30000e+06 1.80000e+01
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",7,7,0.0154445171356201
"[0.0, 1.0, 0.0, 700000.0, 1400000.0, 14.0, 639.0, 1900000.0, 700000.0, 2400000.0, 900000.0]","[0.00000e+00 1.00000e+00 0.00000e+00 3.49995e+04 2.30000e+06 1.40000e+01
 6.39000e+02 2.80000e+06 7.00000e+05 0.00000e+00 8.00000e+05]",5,5,0.0189120769500732
"[0.0, 1.0, 1.0, 9000000.0, 18700000.0, 18.0, 865.0, 26800000.0, 0.0, 20900000.0, 11300000.0]","[0.00000e+00 1.00000e+00 1.00000e+00 3.49995e+04 2.30000e+06 1.80000e+01
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",7,7,0.0148007869720458
"[5.0, 0.0, 1.0, 700000.0, 1300000.0, 20.0, 704.0, 1600000.0, 0.0, 2200000.0, 600000.0]","[5.00000e+00 0.00000e+00 1.00000e+00 3.49995e+04 2.30000e+06 2.00000e+01
 7.04000e+02 2.80000e+06 0.00000e+00 0.00000e+00 8.00000e+05]",5,5,0.0129570960998535
"[0.0, 1.0, 0.0, 3000000.0, 6500000.0, 2.0, 612.0, 8800000.0, 3400000.0, 6700000.0, 1700000.0]","[0.00000000e+00 1.00000000e+00 0.00000000e+00 3.49990070e+04
 2.30000000e+06 5.00000000e+00 6.12000000e+02 2.80000000e+06
 9.90070340e+01 9.99007034e+02 8.00000000e+05]",7,7,0.0134925842285156
"[4.0, 1.0, 1.0, 9800000.0, 21200000.0, 20.0, 355.0, 22000000.0, 8900000.0, 31800000.0, 14400000.0]","[4.00000e+00 1.00000e+00 1.00000e+00 3.49995e+04 2.30000e+06 2.00000e+01
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",7,7,0.0155341625213623
"[3.0, 1.0, 0.0, 2900000.0, 6500000.0, 18.0, 827.0, 8300000.0, 600000.0, 10400000.0, 3200000.0]","[3.00000000e+00 1.00000000e+00 0.00000000e+00 3.49990070e+04
 2.30000000e+06 1.80000000e+01 5.99007034e+02 2.80000000e+06
 9.90070340e+01 9.99007034e+02 8.00000000e+05]",7,7,0.0124287605285644
"[5.0, 1.0, 1.0, 3300000.0, 7800000.0, 16.0, 632.0, 8500000.0, 500000.0, 7100000.0, 4900000.0]","[5.00000e+00 1.00000e+00 1.00000e+00 3.49995e+04 2.30000e+06 1.60000e+01
 6.32000e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",6,6,0.0136380195617675
"[2.0, 1.0, 1.0, 2400000.0, 4900000.0, 4.0, 888.0, 6400000.0, 4300000.0, 5100000.0, 3400000.0]","[2.00000000e+00 1.00000000e+00 1.00000000e+00 3.49993773e+04
 2.30000000e+06 5.00000000e+00 5.99377289e+02 2.80000000e+06
 9.93772895e+01 9.99377289e+02 8.00000000e+05]",8,8,0.0144107341766357
