Original_x,Optimal_x,Cost,Objective,Runtime
"[0.0, 6.0, 4.0, 4.0, 1169.0, 4.0, 4.0, 4.0, 2.0, 0.0, 4.0, 0.0, 67.0, 2.0, 1.0, 2.0, 2.0, 1.0, 1.0, 0.0]","[0.0000000e+00 5.0677271e-01 4.0000000e+00 4.0000000e+00 1.2343368e+03
 4.0000000e+00 4.0000000e+00 4.0000000e+00 2.0000000e+00 0.0000000e+00
 4.0000000e+00 0.0000000e+00 6.7000000e+01 2.0000000e+00 1.0000000e+00
 2.0000000e+00 0.0000000e+00 1.0000000e+00 1.0000000e+00 0.0000000e+00]",3,3,0.0280768871307373
"[1.0, 48.0, 2.0, 4.0, 5951.0, 0.0, 2.0, 2.0, 1.0, 0.0, 2.0, 0.0, 22.0, 2.0, 1.0, 1.0, 2.0, 1.0, 0.0, 0.0]","[1.00000000e+00 5.06772710e-01 4.00000000e+00 4.00000000e+00
 7.81985406e+02 0.00000000e+00 2.00000000e+00 2.00000000e+00
 1.00000000e+00 0.00000000e+00 2.00000000e+00 0.00000000e+00
 2.20000000e+01 2.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00]",4,4,0.0295164585113525
"[3.0, 12.0, 4.0, 7.0, 2096.0, 0.0, 3.0, 2.0, 2.0, 0.0, 3.0, 0.0, 49.0, 2.0, 1.0, 1.0, 1.0, 2.0, 0.0, 0.0]","[3.00000000e+00 5.06772710e-01 4.00000000e+00 7.00000000e+00
 1.45612337e+03 0.00000000e+00 3.00000000e+00 2.00000000e+00
 2.00000000e+00 0.00000000e+00 3.00000000e+00 0.00000000e+00
 4.90000000e+01 2.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00]",4,4,0.0239100456237792
"[0.0, 42.0, 2.0, 3.0, 7882.0, 0.0, 3.0, 2.0, 2.0, 2.0, 4.0, 1.0, 45.0, 2.0, 2.0, 1.0, 2.0, 2.0, 0.0, 0.0]","[0.00000000e+00 5.06772710e-01 4.00000000e+00 3.00000000e+00
 8.32101217e+02 0.00000000e+00 3.00000000e+00 2.00000000e+00
 2.00000000e+00 2.00000000e+00 4.00000000e+00 1.00000000e+00
 4.50000000e+01 2.00000000e+00 2.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00]",5,5,0.0328161716461181
"[0.0, 24.0, 3.0, 0.0, 4870.0, 0.0, 2.0, 3.0, 2.0, 0.0, 4.0, 3.0, 53.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0]","[0.00000000e+00 5.06772710e-01 4.00000000e+00 0.00000000e+00
 5.41176495e+02 0.00000000e+00 2.00000000e+00 3.00000000e+00
 2.00000000e+00 0.00000000e+00 4.00000000e+00 3.00000000e+00
 5.30000000e+01 2.00000000e+00 2.00000000e+00 2.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00]",5,5,0.0263197422027587
"[3.0, 36.0, 2.0, 7.0, 9055.0, 4.0, 2.0, 2.0, 2.0, 0.0, 4.0, 3.0, 35.0, 2.0, 2.0, 1.0, 1.0, 2.0, 1.0, 0.0]","[3.00000000e+00 5.06772710e-01 4.00000000e+00 7.00000000e+00
 9.99111441e+02 4.00000000e+00 2.00000000e+00 2.00000000e+00
 2.00000000e+00 0.00000000e+00 4.00000000e+00 3.00000000e+00
 3.50000000e+01 2.00000000e+00 2.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00]",5,5,0.0222594738006591
"[3.0, 24.0, 2.0, 3.0, 2835.0, 2.0, 4.0, 3.0, 2.0, 0.0, 4.0, 1.0, 53.0, 2.0, 1.0, 1.0, 2.0, 1.0, 0.0, 0.0]","[3.0000000e+00 5.0677271e-01 4.0000000e+00 3.0000000e+00 1.4829024e+03
 2.0000000e+00 4.0000000e+00 3.0000000e+00 2.0000000e+00 0.0000000e+00
 4.0000000e+00 1.0000000e+00 5.3000000e+01 2.0000000e+00 1.0000000e+00
 1.0000000e+00 0.0000000e+00 1.0000000e+00 0.0000000e+00 0.0000000e+00]",4,4,0.0229918956756591
"[1.0, 36.0, 2.0, 1.0, 6948.0, 0.0, 2.0, 2.0, 2.0, 0.0, 2.0, 2.0, 35.0, 2.0, 0.0, 1.0, 3.0, 1.0, 1.0, 0.0]","[1.00000000e+00 5.06772710e-01 4.00000000e+00 1.00000000e+00
 8.15659121e+02 0.00000000e+00 2.00000000e+00 2.00000000e+00
 2.00000000e+00 0.00000000e+00 2.00000000e+00 2.00000000e+00
 3.50000000e+01 2.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00]",4,4,0.0352022647857666
"[3.0, 12.0, 2.0, 4.0, 3059.0, 3.0, 3.0, 2.0, 0.0, 0.0, 4.0, 0.0, 61.0, 2.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[3.00000000e+00 3.12689729e+00 4.00000000e+00 4.00000000e+00
 1.50000000e+03 3.00000000e+00 3.00000000e+00 2.00000000e+00
 0.00000000e+00 0.00000000e+00 4.00000000e+00 0.00000000e+00
 6.10000000e+01 2.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00]",4,4,0.0296578407287597
"[1.0, 30.0, 4.0, 0.0, 5234.0, 0.0, 0.0, 4.0, 3.0, 0.0, 2.0, 2.0, 28.0, 2.0, 1.0, 2.0, 3.0, 1.0, 0.0, 0.0]","[  1.           0.50677271   4.           0.         476.56347111
   0.           0.           4.           3.           0.
   2.           2.          28.           2.           1.
   2.           0.           1.           0.           0.        ]",3,3,0.0242247581481933
"[1.0, 12.0, 2.0, 0.0, 1295.0, 0.0, 1.0, 3.0, 1.0, 0.0, 1.0, 2.0, 25.0, 2.0, 0.0, 1.0, 2.0, 1.0, 0.0, 0.0]","[1.00000000e+00 5.06772710e-01 4.00000000e+00 0.00000000e+00
 5.36600649e+02 0.00000000e+00 1.00000000e+00 3.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 2.00000000e+00
 2.50000000e+01 2.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00]",4,4,0.0260255336761474
"[0.0, 48.0, 2.0, 9.0, 4308.0, 0.0, 1.0, 3.0, 1.0, 0.0, 4.0, 1.0, 24.0, 2.0, 0.0, 1.0, 2.0, 1.0, 0.0, 0.0]","[  0.           0.50677271   4.           9.         217.60169125
   0.           1.           3.           1.           0.
   4.           1.          24.           2.           0.
   1.           0.           1.           0.           0.        ]",4,4,0.0296771526336669
"[1.0, 12.0, 2.0, 4.0, 1567.0, 0.0, 2.0, 1.0, 1.0, 0.0, 1.0, 2.0, 22.0, 2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 0.0]","[1.00000000e+00 5.06772710e-01 4.00000000e+00 4.00000000e+00
 6.90748074e+02 0.00000000e+00 2.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 2.00000000e+00
 2.20000000e+01 2.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00]",4,4,0.0220530033111572
"[0.0, 24.0, 4.0, 0.0, 1199.0, 0.0, 4.0, 4.0, 2.0, 0.0, 4.0, 2.0, 60.0, 2.0, 1.0, 2.0, 1.0, 1.0, 0.0, 0.0]","[0.0000000e+00 5.0677271e-01 4.0000000e+00 0.0000000e+00 8.3604858e+02
 0.0000000e+00 4.0000000e+00 4.0000000e+00 2.0000000e+00 0.0000000e+00
 4.0000000e+00 2.0000000e+00 6.0000000e+01 2.0000000e+00 1.0000000e+00
 2.0000000e+00 0.0000000e+00 1.0000000e+00 0.0000000e+00 0.0000000e+00]",3,3,0.0218403339385986
"[0.0, 15.0, 2.0, 0.0, 1403.0, 0.0, 2.0, 2.0, 1.0, 0.0, 4.0, 2.0, 28.0, 2.0, 0.0, 1.0, 2.0, 1.0, 0.0, 0.0]","[  0.           0.50677271   4.           0.         432.08948177
   0.           2.           2.           1.           0.
   4.           2.          28.           2.           0.
   1.           0.           1.           0.           0.        ]",4,4,0.0293316841125488
"[0.0, 24.0, 2.0, 4.0, 1282.0, 1.0, 2.0, 4.0, 1.0, 0.0, 2.0, 2.0, 32.0, 2.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[  0.           0.50677271   4.           4.         359.66637089
   1.           2.           4.           1.           0.
   2.           2.          32.           2.           1.
   1.           0.           1.           0.           0.        ]",4,4,0.0251142978668212
"[3.0, 24.0, 4.0, 4.0, 2424.0, 4.0, 4.0, 4.0, 2.0, 0.0, 4.0, 1.0, 53.0, 2.0, 1.0, 2.0, 2.0, 1.0, 0.0, 0.0]","[3.00000000e+00 5.06772710e-01 4.00000000e+00 4.00000000e+00
 1.48669167e+03 4.00000000e+00 4.00000000e+00 4.00000000e+00
 2.00000000e+00 0.00000000e+00 4.00000000e+00 1.00000000e+00
 5.30000000e+01 2.00000000e+00 1.00000000e+00 2.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00]",3,3,0.0248684883117675
"[0.0, 30.0, 0.0, 9.0, 8072.0, 4.0, 1.0, 2.0, 2.0, 0.0, 3.0, 2.0, 25.0, 0.0, 1.0, 3.0, 2.0, 1.0, 0.0, 0.0]","[  0.           0.50677271   4.           9.         293.55251408
   4.           1.           2.           2.           0.
   3.           2.          25.           0.           1.
   3.           0.           1.           0.           0.        ]",4,4,0.0225501060485839
"[1.0, 24.0, 2.0, 1.0, 12579.0, 0.0, 4.0, 4.0, 1.0, 0.0, 2.0, 3.0, 44.0, 2.0, 2.0, 1.0, 3.0, 1.0, 1.0, 0.0]","[1.00000000e+00 5.06772710e-01 4.00000000e+00 1.00000000e+00
 7.61185127e+02 0.00000000e+00 4.00000000e+00 4.00000000e+00
 1.00000000e+00 0.00000000e+00 2.00000000e+00 3.00000000e+00
 4.40000000e+01 2.00000000e+00 2.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00]",4,4,0.0236413478851318
"[3.0, 24.0, 2.0, 4.0, 3430.0, 2.0, 4.0, 3.0, 2.0, 0.0, 2.0, 2.0, 31.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 0.0]","[3.00000000e+00 5.06772710e-01 4.00000000e+00 4.00000000e+00
 1.24076663e+03 2.00000000e+00 4.00000000e+00 3.00000000e+00
 2.00000000e+00 0.00000000e+00 2.00000000e+00 2.00000000e+00
 3.10000000e+01 2.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00]",5,5,0.0257549285888671
"[3.0, 9.0, 4.0, 0.0, 2134.0, 0.0, 2.0, 4.0, 2.0, 0.0, 4.0, 2.0, 48.0, 2.0, 1.0, 3.0, 2.0, 1.0, 1.0, 0.0]","[3.00000000e+00 5.06772710e-01 4.00000000e+00 0.00000000e+00
 1.17523722e+03 0.00000000e+00 2.00000000e+00 4.00000000e+00
 2.00000000e+00 0.00000000e+00 4.00000000e+00 2.00000000e+00
 4.80000000e+01 2.00000000e+00 1.00000000e+00 3.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00]",3,3,0.02215576171875
"[0.0, 6.0, 2.0, 4.0, 2647.0, 2.0, 2.0, 2.0, 2.0, 0.0, 3.0, 0.0, 44.0, 2.0, 0.0, 1.0, 2.0, 2.0, 0.0, 0.0]","[0.00000000e+00 5.06772710e-01 4.00000000e+00 4.00000000e+00
 8.89097352e+02 2.00000000e+00 2.00000000e+00 2.00000000e+00
 2.00000000e+00 0.00000000e+00 3.00000000e+00 0.00000000e+00
 4.40000000e+01 2.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00]",5,5,0.0298235416412353
"[0.0, 10.0, 4.0, 0.0, 2241.0, 0.0, 1.0, 1.0, 2.0, 0.0, 3.0, 0.0, 48.0, 2.0, 0.0, 2.0, 1.0, 2.0, 0.0, 1.0]","[0.00000000e+00 5.06772710e-01 4.00000000e+00 0.00000000e+00
 9.55781081e+02 0.00000000e+00 1.00000000e+00 1.00000000e+00
 2.00000000e+00 0.00000000e+00 3.00000000e+00 0.00000000e+00
 4.80000000e+01 2.00000000e+00 0.00000000e+00 2.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00]",4,4,0.0537481307983398
"[1.0, 12.0, 4.0, 1.0, 1804.0, 1.0, 1.0, 3.0, 2.0, 0.0, 4.0, 1.0, 44.0, 2.0, 1.0, 1.0, 2.0, 1.0, 0.0, 0.0]","[1.00000000e+00 5.06772710e-01 4.00000000e+00 1.00000000e+00
 7.82418776e+02 1.00000000e+00 1.00000000e+00 3.00000000e+00
 2.00000000e+00 0.00000000e+00 4.00000000e+00 1.00000000e+00
 4.40000000e+01 2.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00]",3,3,0.0664718151092529
"[3.0, 10.0, 4.0, 3.0, 2069.0, 4.0, 2.0, 2.0, 3.0, 0.0, 1.0, 2.0, 26.0, 2.0, 1.0, 2.0, 2.0, 1.0, 0.0, 1.0]","[3.00000000e+00 5.06772710e-01 4.00000000e+00 3.00000000e+00
 1.23090025e+03 4.00000000e+00 2.00000000e+00 2.00000000e+00
 3.00000000e+00 0.00000000e+00 1.00000000e+00 2.00000000e+00
 2.60000000e+01 2.00000000e+00 1.00000000e+00 2.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00]",3,3,0.0804669857025146
"[0.0, 6.0, 2.0, 3.0, 1374.0, 0.0, 2.0, 1.0, 2.0, 0.0, 2.0, 0.0, 36.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.00000000e+00 5.06772710e-01 4.00000000e+00 3.00000000e+00
 7.84302858e+02 0.00000000e+00 2.00000000e+00 1.00000000e+00
 2.00000000e+00 0.00000000e+00 2.00000000e+00 0.00000000e+00
 3.60000000e+01 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00]",4,4,0.063209056854248
"[1.0, 7.0, 2.0, 4.0, 2415.0, 0.0, 2.0, 3.0, 2.0, 2.0, 2.0, 0.0, 34.0, 2.0, 1.0, 1.0, 2.0, 1.0, 0.0, 0.0]","[1.00000000e+00 5.06772710e-01 4.00000000e+00 4.00000000e+00
 9.35733636e+02 0.00000000e+00 2.00000000e+00 3.00000000e+00
 2.00000000e+00 2.00000000e+00 2.00000000e+00 0.00000000e+00
 3.40000000e+01 2.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00]",4,4,0.1081578731536865
"[0.0, 60.0, 3.0, 9.0, 6836.0, 0.0, 4.0, 3.0, 2.0, 0.0, 4.0, 3.0, 63.0, 2.0, 1.0, 2.0, 2.0, 1.0, 1.0, 0.0]","[0.0000000e+00 5.0677271e-01 4.0000000e+00 9.0000000e+00 7.1542059e+02
 0.0000000e+00 4.0000000e+00 3.0000000e+00 2.0000000e+00 0.0000000e+00
 4.0000000e+00 3.0000000e+00 6.3000000e+01 2.0000000e+00 1.0000000e+00
 2.0000000e+00 0.0000000e+00 1.0000000e+00 1.0000000e+00 0.0000000e+00]",4,4,0.1088368892669677
